,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
5,6,Ernesto Torregrossa,"€ 15,962","€ 830,000","€ 845,552",F,27,Italy,Brescia,Serie A,2019-2020
6,7,Daniele Dessena,"€ 14,231","€ 740,000","€ 753,866",M,32,Italy,Brescia,Serie A,2019-2020
7,8,Jesse Joronen,"€ 12,308","€ 640,000","€ 651,992",K,26,Finland,Brescia,Serie A,2019-2020
8,9,Daniele Gastaldello,"€ 10,769","€ 560,000","€ 570,493",D,36,Italy,Brescia,Serie A,2019-2020
9,10,Luca Tremolada,"€ 10,769","€ 560,000","€ 570,493",F,27,Italy,Brescia,Serie A,2019-2020
10,11,Stefano Sabelli,"€ 8,846","€ 460,000","€ 468,619",D,26,Italy,Brescia,Serie A,2019-2020
11,12,Bruno Martella,"€ 8,846","€ 460,000","€ 468,619",D,27,Italy,Brescia,Serie A,2019-2020
12,13,Dimitri Bisoli,"€ 8,846","€ 460,000","€ 468,619",M,25,Italy,Brescia,Serie A,2019-2020
13,14,Sandro Tonali,"€ 8,846","€ 460,000","€ 468,619",M,19,Italy,Brescia,Serie A,2019-2020
14,15,Birkir Bjarnason,"€ 8,462","€ 440,000","€ 448,245",M,31,Iceland,Brescia,Serie A,2019-2020
15,16,Emanuele Ndoj,"€ 7,115","€ 370,000","€ 376,933",M,22,Albania,Brescia,Serie A,2019-2020
16,17,Enrico Alfonso,"€ 7,115","€ 370,000","€ 376,933",K,31,Italy,Brescia,Serie A,2019-2020
17,18,Leonardo Morosini,"€ 7,115","€ 370,000","€ 376,933",F,23,Italy,Brescia,Serie A,2019-2020
18,19,Simon Skrabb,"€ 6,538","€ 340,000","€ 346,371",F,25,Finland,Brescia,Serie A,2019-2020
19,20,Jaromir Zmrhal,"€ 6,154","€ 320,000","€ 325,996",M,26,Czech Republic,Brescia,Serie A,2019-2020
20,21,Nikolas Spalek,"€ 5,385","€ 280,000","€ 285,247",F,22,Slovakia,Brescia,Serie A,2019-2020
21,22,Florian Ayé,"€ 3,654","€ 190,000","€ 193,560",F,22,France,Brescia,Serie A,2019-2020
22,23,Jhon Chancellor,"€ 3,654","€ 190,000","€ 193,560",D,27,Venezuela,Brescia,Serie A,2019-2020
23,24,Andrea Cistana,"€ 3,654","€ 190,000","€ 193,560",D,22,Italy,Brescia,Serie A,2019-2020
24,25,Mattia Viviani,"€ 3,654","€ 190,000","€ 193,560",M,19,Italy,Brescia,Serie A,2019-2020
25,26,Alessandro Semprini,"€ 3,654","€ 190,000","€ 193,560",D,21,Italy,Brescia,Serie A,2019-2020
26,27,Ales Mateju,"€ 3,654","€ 190,000","€ 193,560",D,23,Czech Republic,Brescia,Serie A,2019-2020
27,28,Felipe Curcio,"€ 2,885","€ 150,000","€ 152,811",D,26,Brazil,Brescia,Serie A,2019-2020
28,29,Massimiliano Mangraviti,"€ 1,346","€ 70,000","€ 71,312",D,21,Italy,Brescia,Serie A,2019-2020
29,30,Lorenzo Andrenacci,"€ 1,346","€ 70,000","€ 71,312",K,24,Italy,Brescia,Serie A,2019-2020
0,1,Radja Nainggolan,"€ 106,923","€ 5,560,000","€ 5,664,182",M,31,Belgium,Cagliari,Serie A,2019-2020
1,2,Leonardo Pavoletti,"€ 64,038","€ 3,330,000","€ 3,392,397",F,30,Italy,Cagliari,Serie A,2019-2020
2,3,Marko Rog,"€ 53,462","€ 2,780,000","€ 2,832,091",M,24,Croatia,Cagliari,Serie A,2019-2020
3,4,Giovanni Simeone,"€ 53,462","€ 2,780,000","€ 2,832,091",F,24,Argentina,Cagliari,Serie A,2019-2020
4,5,Nahitan Nández,"€ 36,923","€ 1,920,000","€ 1,955,977",M,23,Uruguay,Cagliari,Serie A,2019-2020
5,6,Alberto Cerri,"€ 35,577","€ 1,850,000","€ 1,884,665",F,23,Italy,Cagliari,Serie A,2019-2020
6,7,Alberto Paloschi,"€ 35,577","€ 1,850,000","€ 1,884,665",F,30,Italy,Cagliari,Serie A,2019-2020
7,8,Alessio Cragno,"€ 35,577","€ 1,850,000","€ 1,884,665",K,25,Italy,Cagliari,Serie A,2019-2020
8,9,Luca Ceppitelli,"€ 35,577","€ 1,850,000","€ 1,884,665",D,30,Italy,Cagliari,Serie A,2019-2020
9,10,Luca Pellegrini,"€ 35,577","€ 1,850,000","€ 1,884,665",D,20,Italy,Cagliari,Serie A,2019-2020
10,11,Ragnar Klavan,"€ 35,577","€ 1,850,000","€ 1,884,665",D,33,Estonia,Cagliari,Serie A,2019-2020
11,12,João Pedro,"€ 28,462","€ 1,480,000","€ 1,507,732",F,27,Brazil,Cagliari,Serie A,2019-2020
12,13,Artur Ionita,"€ 28,462","€ 1,480,000","€ 1,507,732",M,29,Moldova,Cagliari,Serie A,2019-2020
13,14,Lucas Castro,"€ 28,462","€ 1,480,000","€ 1,507,732",M,30,Argentina,Cagliari,Serie A,2019-2020
14,15,Gastón Pereiro,"€ 24,423","€ 1,270,000","€ 1,293,797",F,24,Uruguay,Cagliari,Serie A,2019-2020
15,16,Valter Birsa,"€ 21,346","€ 1,110,000","€ 1,130,799",F,33,Slovenia,Cagliari,Serie A,2019-2020
16,17,Luca Cigarini,"€ 17,885","€ 930,000","€ 947,426",M,33,Italy,Cagliari,Serie A,2019-2020
17,18,Paolo Faragò,"€ 17,885","€ 930,000","€ 947,426",M,26,Italy,Cagliari,Serie A,2019-2020
18,19,Robin Olsen,"€ 17,885","€ 930,000","€ 947,426",K,29,Sweden,Cagliari,Serie A,2019-2020
19,20,Charalampos Lykogiannis,"€ 17,885","€ 930,000","€ 947,426",D,25,Greece,Cagliari,Serie A,2019-2020
20,21,Fabio Pisacane,"€ 17,885","€ 930,000","€ 947,426",D,33,Italy,Cagliari,Serie A,2019-2020
21,22,Fabrizio Cacciatore,"€ 14,231","€ 740,000","€ 753,866",D,32,Italy,Cagliari,Serie A,2019-2020
