,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
527,it ITA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Leonardo Marson
528,it ITA,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Federico Ricci
529,br BRA,GK,24,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Alisson
530,rs SRB,DF,31,35,34,"3,060",34.0,2,6,2,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.5,2.5,9.0,11.5,0.07,0.27,0.34,0.07,0.34,Aleksandar Kolarov
531,ba BIH,FW,31,36,33,"3,018",33.5,16,3,16,0,0,6,0,0.48,0.09,0.57,0.48,0.57,17.4,17.4,3.9,21.2,0.52,0.12,0.63,0.52,0.63,Edin Džeko
532,ar ARG,DF,30,34,32,"2,922",32.5,2,1,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,2.4,2.4,0.1,2.5,0.07,0.00,0.08,0.07,0.08,Federico Fazio
533,be BEL,MF,29,31,31,"2,613",29.0,4,7,4,0,0,7,2,0.14,0.24,0.38,0.14,0.38,3.1,3.1,6.2,9.3,0.11,0.21,0.32,0.11,0.32,Radja Nainggolan
534,gr GRE,DF,26,29,27,"2,338",26.0,2,0,2,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.4,1.4,0.1,1.6,0.05,0.01,0.06,0.05,0.06,Kostas Manolas
535,it ITA,DF,26,32,26,"2,387",26.5,1,3,1,0,1,2,0,0.04,0.11,0.15,0.04,0.15,3.8,3.1,4.6,7.7,0.14,0.17,0.32,0.12,0.29,Alessandro Florenzi
536,nl NED,MF,27,32,26,"2,258",25.1,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,2.7,2.7,1.5,4.2,0.11,0.06,0.17,0.11,0.17,Kevin Strootman
537,it ITA,FW,24,33,25,"2,155",23.9,7,5,7,0,0,1,0,0.29,0.21,0.50,0.29,0.50,8.9,8.9,3.7,12.6,0.37,0.16,0.53,0.37,0.53,Stephan El Shaarawy
538,it ITA,MF,21,28,22,"1,797",20.0,3,2,3,0,0,2,1,0.15,0.10,0.25,0.15,0.25,2.6,2.6,4.1,6.7,0.13,0.21,0.33,0.13,0.33,Lorenzo Pellegrini
539,it ITA,MF,34,22,21,"1,829",20.3,1,1,1,0,0,6,1,0.05,0.05,0.10,0.05,0.10,0.8,0.8,1.9,2.6,0.04,0.09,0.13,0.04,0.13,Daniele De Rossi
540,br BRA,DF,26,22,18,"1,658",18.4,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.6,0.03,0.01,0.03,0.03,0.03,Juan Jesus
541,ar ARG,"FW,MF",29,25,17,"1,609",17.9,5,3,3,2,4,0,0,0.28,0.17,0.45,0.17,0.34,5.6,2.5,3.6,6.0,0.31,0.20,0.51,0.14,0.34,Diego Perotti
542,tr TUR,FW,20,26,15,"1,249",13.9,7,2,7,0,0,0,0,0.50,0.14,0.65,0.50,0.65,4.6,4.6,2.0,6.6,0.33,0.15,0.48,0.33,0.48,Cengiz Ünder
543,br BRA,DF,27,18,13,"1,155",12.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.1,1.6,0.04,0.08,0.12,0.04,0.12,Bruno Peres
544,fr FRA,MF,28,16,12,"1,096",12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.2,1.7,0.04,0.10,0.14,0.04,0.14,Maxime Gonalons
545,cz CZE,"FW,MF",21,22,10,992,11.0,2,0,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,3.1,3.1,2.3,5.4,0.28,0.21,0.49,0.28,0.49,Patrik Schick
546,br BRA,"MF,FW",20,24,8,909,10.1,2,1,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,1.3,1.3,0.8,2.1,0.13,0.08,0.21,0.13,0.21,Gerson
547,mq MTQ,"FW,MF",26,15,5,485,5.4,1,0,0,1,1,1,0,0.19,0.00,0.19,0.00,0.00,2.3,1.5,0.5,2.0,0.42,0.10,0.52,0.27,0.37,Grégoire Defrel
548,mx MEX,DF,29,5,2,230,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Héctor Moreno
549,ar ARG,DF,23,2,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Jonathan Silva
550,pl POL,GK,26,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Łukasz Skorupski
551,it ITA,DF,21,2,1,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Elio Capradossi
