,firstName,middleName,lastName,currentTeamId,weight,height,foot,country,cou_code,role,city,name,officialName,wyId
529,Armindo,,Tué Na Bangna,2975,70,173,right,Guinea-Bissau,GW,Forward,Leipzig,RB Leipzig,Rasen Ballsport Leipzig,2975.0
530,Fernando,,Marçal de Oliveira,3766,74,178,left,Brazil,BR,Defender,Lyon,Olympique Lyonnais,Olympique Lyonnais,3766.0
531,Antonio,,Barreca,3185,70,180,left,Italy,IT,Defender,Torino,Torino,Torino FC,3185.0
532,Luis,,Hernández Rodríguez,683,75,183,right,Spain,ES,Defender,Malaga,Málaga,Málaga Club de Fútbol,683.0
533,Daniel,,García Carrillo,701,75,180,right,Spain,ES,Midfielder,Eibar,Eibar,SD Eibar,701.0
534,Malcom Filipe,,Silva de Oliveira,3772,75,171,left,Brazil,BR,Forward,Le Haillan,Bordeaux,FC Girondins de Bordeaux,3772.0
535,Martín Maximiliano,,Mantovani,712,77,183,right,Argentina,AR,Defender,Legan\u00e9s,Leganés,CD Leganés,712.0
536,David,,Alcibiade,,73,177,,France,FR,Defender,,,,
537,Christian Robert,,Santos Kwasniewski,696,70,184,left,Venezuela,VE,Forward,Vitoria-Gasteiz,Deportivo Alavés,Deportivo Alavés,696.0
538,Bruno,,González Cabrera,698,86,185,right,Spain,ES,Defender,Getafe (Madrid),Getafe,Getafe Club de Fútbol,698.0
539,Douglas Luiz,,Soares de Paulo,756,65,178,right,Brazil,BR,Midfielder,Girona,Girona,Girona FC,756.0
540,Marlon,,Sündermann,2455,0,186,right,Germany,DE,Goalkeeper,Hannover,Hannover 96,Hannover 96,2455.0
541,Andrija,,Balić,3163,71,180,right,Croatia,HR,Midfielder,Udine,Udinese,Udinese Calcio,3163.0
542,Ervin,,Zukanović,3193,85,190,left,Bosnia-Herzegovina,BA,Defender,Genova,Genoa,Genoa CFC,3193.0
543,Kevin,,Danso,2481,89,190,right,Austria,AT,Defender,Augsburg,Augsburg,FC Augsburg,2481.0
544,Juan Pablo,,Añor Acosta,683,67,175,left,Venezuela,VE,Midfielder,Malaga,Málaga,Málaga Club de Fútbol,683.0
545,Alexander,,Nübel,2449,85,193,right,Germany,DE,Goalkeeper,Gelsenkirchen,Schalke 04,FC Schalke 04,2449.0
546,Lorenzo,,Venuti,3219,66,176,right,Italy,IT,Defender,Benevento,Benevento,Benevento Calcio,3219.0
547,Willem,,Geubbels,3766,72,185,right,France,FR,Forward,Lyon,Olympique Lyonnais,Olympique Lyonnais,3766.0
548,Jorge Marco,,de Oliveira Moraes,19830,76,184,left,Brazil,BR,Defender,Monaco,Monaco,AS Monaco FC,19830.0
549,Lucas,,Torreira Di Pascua,1609,64,168,right,Uruguay,UY,Midfielder,London,Arsenal,Arsenal FC,1609.0
550,Sergi,,Samper Montaña,714,71,181,right,Spain,ES,Midfielder,Las Palmas de Gran Canaria,Las Palmas,UD Las Palmas,714.0
551,Sandro ,,Ramírez Castillo,680,72,175,right,Spain,ES,Forward,Sevilla,Sevilla,Sevilla FC,680.0
552,Adam,,Ounas,3187,65,172,left,France,FR,Forward,Castel Volturno,Napoli,SSC Napoli,3187.0
553,Kévin Olivier,,Soni,756,77,182,left,Cameroon,CM,Midfielder,Girona,Girona,Girona FC,756.0
554,André-Frank,,Zambo Anguissa,3771,78,184,right,Cameroon,CM,Midfielder,Marseille,Olympique Marseille,Olympique de Marseille,3771.0
555,Lukáš,,Zima,3193,82,196,right,Czech Republic,CZ,Goalkeeper,Genova,Genoa,Genoa CFC,3193.0
556,Stefan,,Simič,3197,79,187,right,Czech Republic,CZ,Defender,Crotone,Crotone,FC Crotone,3197.0
557,Rijad,,Bajić,4535,80,189,left,Bosnia-Herzegovina,BA,Forward,,,,
558,Konrad,,Laimer,2975,72,180,right,Austria,AT,Midfielder,Leipzig,RB Leipzig,Rasen Ballsport Leipzig,2975.0
559,Deian,,Boldor,3194,80,189,left,Romania,RO,Defender,Verona,Hellas Verona,Hellas Verona FC,3194.0
560,Abdou,,Diallo,2460,72,188,left,France,FR,Defender,Mainz,Mainz 05,1. FSV Mainz 05,2460.0
561,Dimitry,,Bertaud,3787,85,180,right,France,FR,Goalkeeper,Montpellier,Montpellier,Montpellier HSC,3787.0
562,Jeff,,Reine-Adelaide,3799,75,183,right,France,FR,Midfielder,Angers,Angers,Angers SCO,3799.0
563,Lebo,,Mothiba,3776,80,182,right,South Africa,ZA,Forward,Villeneuve-d'Ascq,Lille,Lille OSC Métropole,3776.0
564,Jérémy,,Gelin,3774,77,182,right,France,FR,Defender,Rennes,Rennes,Stade Rennais FC,3774.0
565,Romain,,Perraud,3775,68,173,left,France,FR,Defender,Nice,Nice,O.G.C. Nice Côte d'Azur,3775.0
566,Marcus,,Thuram,3785,88,192,right,Italy,IT,Forward,Guingamp,Guingamp,En Avant Guingamp,3785.0
567,Vahid,,Selimovic,3777,75,190,right,Luxembourg,LU,Defender,Metz,Metz,FC Metz,3777.0
568,Ederson,,Santana de Moraes,1625,89,187,left,Brazil,BR,Goalkeeper,Manchester,Manchester City,Manchester City FC,1625.0
569,Christ Emmanuel Faitout,,Maouassa,3774,74,170,left,France,FR,Midfielder,Rennes,Rennes,Stade Rennais FC,3774.0
570,Joris,,Gnagnon,3774,89,182,right,France,FR,Defender,Rennes,Rennes,Stade Rennais FC,3774.0
571,Iván,,Alejo Peralta,701,77,186,right,Spain,ES,Midfielder,Eibar,Eibar,SD Eibar,701.0
572,Florin,,Andone,677,78,180,right,Romania,RO,Forward,A Coru\u00f1a,Deportivo La Coruña,Real Club Deportivo de La Coruña,677.0
573,Victor,,Nilsson Lindelöf,1611,81,187,right,Sweden,SE,Defender,Manchester,Manchester United,Manchester United FC,1611.0
574,Ruben,,Loftus-Cheek,1610,83,191,right,England,,Midfielder,London,Chelsea,Chelsea FC,1610.0
575,Francesc Aday,,Benítez Caraballo,756,75,179,right,Spain,ES,Defender,Girona,Girona,Girona FC,756.0
576,Timo,,Baumgartl,2445,87,190,right,Germany,DE,Defender,Stuttgart,Stuttgart,VfB Stuttgart 1893,2445.0
577,Jonathan Cristian,,Silva,3158,75,180,left,Argentina,AR,Defender,Roma,Roma,AS Roma,3158.0
578,Thilo,,Kehrer,2449,76,186,right,Germany,DE,Defender,Gelsenkirchen,Schalke 04,FC Schalke 04,2449.0
579,Kevin,,Lasagna,3163,80,186,left,Italy,IT,Forward,Udine,Udinese,Udinese Calcio,3163.0
580,Lorenco,,Šimić,3204,89,195,right,Croatia,HR,Defender,Ferrara,SPAL,Società Polisportiva Ars et Labor 2013,3204.0
581,Joseba,,Zaldúa Bengoetxea,712,70,176,right,Spain,ES,Defender,Legan\u00e9s,Leganés,CD Leganés,712.0
582,Kenan,,Kodro,6411,77,187,right,Spain,ES,Forward,,,,
583,Lassana,,Coulibaly,3799,67,175,right,Mali,ML,Midfielder,Angers,Angers,Angers SCO,3799.0
584,Timo,,Stavitski,3783,80,180,right,Finland,FI,Midfielder,Caen,Caen,Stade Malherbe Caen,3783.0
585,Jon Ander,,Serantes Simon,712,72,184,right,Spain,ES,Goalkeeper,Legan\u00e9s,Leganés,CD Leganés,712.0
586,Unai,,Bustinza Martínez,712,74,175,right,Spain,ES,Defender,Legan\u00e9s,Leganés,CD Leganés,712.0
587,Javier,,Eraso Goñi,712,71,180,right,Spain,ES,Midfielder,Legan\u00e9s,Leganés,CD Leganés,712.0
588,Alexander,,Isak,2447,74,190,right,Sweden,SE,Forward,Dortmund,Borussia Dortmund,BV Borussia 09 Dortmund,2447.0
589,Esteban,,Rolón,683,70,175,right,Argentina,AR,Midfielder,Malaga,Málaga,Málaga Club de Fútbol,683.0
590,Pablo,,Fornals Malla,682,72,179,right,Spain,ES,Midfielder,Villarreal,Villarreal,Villarreal Club de Fútbol,682.0
591,Issiaga,,Sylla,3780,75,180,left,Guinea,GN,Defender,Toulouse,Toulouse,Toulouse FC,3780.0
592,Raúl,,García Carnero,712,72,175,left,Spain,ES,Defender,Legan\u00e9s,Leganés,CD Leganés,712.0
593,Ján,,Ďurica,,86,188,left,Slovakia,SK,Defender,,,,
594,Pedro,,López Galisteo,,80,185,right,Spain,ES,Goalkeeper,,,,
595,Nicolas,,Janvier,3774,71,173,right,France,FR,Midfielder,Rennes,Rennes,Stade Rennais FC,3774.0
596,Bingourou,,Kamara,3779,84,193,right,France,FR,Goalkeeper,Strasbourg,Strasbourg,RC Strasbourg Alsace,3779.0
597,Ibrahima,,Niane,3777,71,187,right,Senegal,SN,Forward,Metz,Metz,FC Metz,3777.0
